Timestamp,hash-rate
2020-10-04 00:00:00,135653610.44245002
2020-10-05 00:00:00,136460935.27785847
2020-10-06 00:00:00,137953248.4370175
2020-10-07 00:00:00,136429165.52396682
2020-10-08 00:00:00,135725586.01090187
2020-10-09 00:00:00,140918695.2372454
2020-10-10 00:00:00,141724961.0808575
2020-10-11 00:00:00,140610835.7034118
2020-10-12 00:00:00,138141088.90059376
2020-10-13 00:00:00,139374491.48006335
2020-10-14 00:00:00,144308101.79794168
2020-10-15 00:00:00,144034012.33583733
2020-10-16 00:00:00,142526520.2942634
2020-10-17 00:00:00,144308101.79794168
2020-10-18 00:00:00,146484944.03741997
2020-10-19 00:00:00,144339932.50425598
2020-10-20 00:00:00,141671570.5088783
2020-10-21 00:00:00,139371646.13118592
2020-10-22 00:00:00,137413336.2530641
